threads,tiempo-carga,tiempo-maximo
1,3.98217,0.000333996
2,4.03301,0.00020322
3,3.93823,0.000241987
4,3.93949,0.000257605
5,3.92554,0.000252043
6,3.94331,0.000252378
7,4.03551,0.000273483
8,3.92562,0.000296876
9,3.95374,0.000319569
10,4.46943,0.000323426
11,4.02209,0.000364433
12,3.9444,0.000340655
13,3.94311,0.00034154
14,3.93924,0.000368461
15,3.92969,0.000353595
16,4.57999,0.000416361
17,4.32149,0.000407938
18,3.94966,0.000447474
19,3.97626,0.000488604
20,4.35955,0.000492946
