threads,tiempo-carga,tiempo-maximo
1,3.20794,0.000585985
2,3.16744,0.000360628
3,3.0717,0.000276318
4,2.9949,0.000306258
5,3.05762,0.000344561
6,3.05688,0.000349156
7,3.06312,0.000372584
8,3.07255,0.000411171
9,3.22557,0.000459621
10,3.23179,0.000421554
11,3.25218,0.000406964
12,3.23661,0.000708013
13,3.27247,0.000693334
14,3.22071,0.000489722
15,3.23693,0.000683218
16,3.39612,0.000677377
17,3.23082,0.000968387
18,3.2472,0.000697007
19,3.2345,0.000901684
20,3.22411,0.000700968
