threads,tiempo-carga,tiempo-maximo
1,3.16926,0.000605846
2,3.2125,0.000476647
3,3.7518,0.000234907
4,3.68812,0.000237885
5,3.77925,0.000386823
6,3.81441,0.000401535
7,3.84199,0.000381459
8,3.81324,0.000387839
9,3.8134,0.000399566
10,3.83286,0.000575016
11,3.82894,0.000467802
12,3.81841,0.000431841
13,3.79721,0.000489661
14,3.82986,0.000455188
15,3.81434,0.000844249
16,3.79383,0.000687128
17,3.81437,0.000807053
18,3.82155,0.000769936
19,3.82177,0.000784929
20,3.79781,0.00084742
