threads,tiempo-carga,tiempo-maximo
1,3.93862,0.000339141
2,3.9856,0.000219983
3,4.09701,0.000265498
4,3.81571,0.000257664
5,3.82235,0.000264542
6,4.29478,0.000264498
7,3.82136,0.0002554
8,3.81439,0.000280519
9,3.80917,0.000309037
10,3.8199,0.000323337
11,3.84668,0.000326593
12,3.79378,0.000342776
13,3.7807,0.000294942
14,3.7881,0.000371538
15,3.81074,0.000393003
16,3.78608,0.000401559
17,4.40324,0.000504754
18,3.7859,0.000475965
19,3.78445,0.000463874
20,4.80814,0.000551469
