threads,tiempo-carga,tiempo-maximo
1,5.94169,0.000802107
2,6.02158,0.000385305
3,3.65674,0.000302374
4,3.58038,0.000243361
5,3.57255,0.000381458
6,3.53369,0.000436237
7,3.56333,0.000447373
8,3.52924,0.000389472
9,3.57342,0.000454263
10,3.55726,0.000496026
11,3.47077,0.000542066
12,3.53951,0.000483364
13,3.51327,0.000910129
14,3.54788,0.000889789
15,3.52994,0.000893248
16,3.44944,0.000905942
17,3.46756,0.000769659
18,3.5992,0.000845655
19,3.54564,0.000940713
20,3.5723,0.00128822
